date,close,cash,shares,position_value,equity
2024-04-18,804.0,1000000.0,0,0.0,1000000.0
2024-04-19,750.0,1000000.0,0,0.0,1000000.0
2024-04-22,742.0,1000000.0,0,0.0,1000000.0
2024-04-23,754.0,1000000.0,0,0.0,1000000.0
2024-04-24,783.0,1000000.0,0,0.0,1000000.0
2024-04-25,766.0,1000000.0,0,0.0,1000000.0
2024-04-26,782.0,1000000.0,0,0.0,1000000.0
2024-04-29,795.0,1000000.0,0,0.0,1000000.0
2024-04-30,790.0,1000000.0,0,0.0,1000000.0
2024-05-02,772.0,1000000.0,0,0.0,1000000.0
2024-05-03,780.0,1000000.0,0,0.0,1000000.0
2024-05-06,786.0,1000000.0,0,0.0,1000000.0
2024-05-07,800.0,1000000.0,0,0.0,1000000.0
2024-05-08,802.0,1000000.0,0,0.0,1000000.0
2024-05-09,796.0,1000000.0,0,0.0,1000000.0
2024-05-10,802.0,1000000.0,0,0.0,1000000.0
2024-05-13,819.0,1000000.0,0,0.0,1000000.0
2024-05-14,825.0,1000000.0,0,0.0,1000000.0
2024-05-15,839.0,1000000.0,0,0.0,1000000.0
2024-05-16,841.0,1000000.0,0,0.0,1000000.0
2024-05-17,835.0,1000000.0,0,0.0,1000000.0
2024-05-20,835.0,1000000.0,0,0.0,1000000.0
2024-05-21,841.0,1000000.0,0,0.0,1000000.0
2024-05-22,864.0,1000000.0,0,0.0,1000000.0
2024-05-23,875.0,1000000.0,0,0.0,1000000.0
2024-05-24,867.0,1000000.0,0,0.0,1000000.0
2024-05-27,869.0,1000000.0,0,0.0,1000000.0
2024-05-28,865.0,1000000.0,0,0.0,1000000.0
2024-05-29,857.0,1000000.0,0,0.0,1000000.0
2024-05-30,838.0,1000000.0,0,0.0,1000000.0
2024-05-31,821.0,1000000.0,0,0.0,1000000.0
2024-06-03,846.0,1000000.0,0,0.0,1000000.0
2024-06-04,839.0,1000000.0,0,0.0,1000000.0
2024-06-05,854.0,1000000.0,0,0.0,1000000.0
2024-06-06,894.0,1000000.0,0,0.0,1000000.0
2024-06-07,879.0,1000000.0,0,0.0,1000000.0
2024-06-11,883.0,1000000.0,0,0.0,1000000.0
2024-06-12,909.0,1000000.0,0,0.0,1000000.0
2024-06-13,919.0,1000000.0,0,0.0,1000000.0
2024-06-14,922.0,1000000.0,0,0.0,1000000.0
2024-06-17,921.0,1000000.0,0,0.0,1000000.0
2024-06-18,943.0,1000000.0,0,0.0,1000000.0
2024-06-19,981.0,1000000.0,0,0.0,1000000.0
2024-06-20,981.0,1000000.0,0,0.0,1000000.0
2024-06-21,970.0,1000000.0,0,0.0,1000000.0
2024-06-24,940.0,1000000.0,0,0.0,1000000.0
2024-06-25,945.0,1000000.0,0,0.0,1000000.0
2024-06-26,960.0,1000000.0,0,0.0,1000000.0
2024-06-27,960.0,1000000.0,0,0.0,1000000.0
2024-06-28,966.0,1000000.0,0,0.0,1000000.0
2024-07-01,968.0,1000000.0,0,0.0,1000000.0
2024-07-02,960.0,1000000.0,0,0.0,1000000.0
2024-07-03,979.0,1000000.0,0,0.0,1000000.0
2024-07-04,1005.0,1000000.0,0,0.0,1000000.0
2024-07-05,1005.0,1000000.0,0,0.0,1000000.0
2024-07-08,1035.0,1000000.0,0,0.0,1000000.0
2024-07-09,1040.0,1000000.0,0,0.0,1000000.0
2024-07-10,1045.0,1000000.0,0,0.0,1000000.0
2024-07-11,1080.0,1000000.0,0,0.0,1000000.0
2024-07-12,1040.0,1000000.0,0,0.0,1000000.0
