code,sector,name
087799,Unknown,聯發科群益52購05
087800,Unknown,聯發科群益55購01
087805,Unknown,奇鋐群益53購02
08780P,Unknown,聯發科富邦53售01
087813,Unknown,臻鼎群益55購01
08781P,Unknown,聯發科富邦53售02
087820,Unknown,寶成群益53購01
087824,Unknown,鴻海元大54購09
087826,Unknown,台積電元大54購12
087827,Unknown,台積電元大54購13
087830,Unknown,長榮元大54購03
087832,Unknown,欣興元大54購01
087833,Unknown,欣興元大56購01
087837,Unknown,緯創元大54購05
087838,Unknown,新日興元大54購01
087843,Unknown,世芯元大54購06
087860,Unknown,世紀鋼元大54購03
087863,Unknown,臺股指元大53購05
087864,Unknown,臺股指元大53購06
087866,Unknown,FB越南凱基53購01
087867,Unknown,士電凱基53購01
087868,Unknown,中興電凱基55購01
087873,Unknown,台積電凱基67購05
087874,Unknown,台積電凱基67購06
087875,Unknown,智邦凱基53購01
087879,Unknown,微星凱基53購01
087882,Unknown,奇鋐凱基53購04
087883,Unknown,智原凱基57購01
087886,Unknown,世芯凱基53購03
087891,Unknown,飛捷凱基53購01
087894,Unknown,訊芯凱基53購01
087897,Unknown,臺股指凱基53購10
087898,Unknown,臺股指凱基53購11
087899,Unknown,臺股指凱基58購02
087902,Unknown,宏致元富52購01
087903,Unknown,世芯元富57購02
087904,Unknown,世芯元富67購01
087909,Unknown,上証2X國票53購01
087910,Unknown,上証2X國票54購01
087911,Unknown,FB越南國票54購01
087912,Unknown,FB越南國票57購01
087913,Unknown,中砂國票52購03
087914,Unknown,美律國票55購01
087915,Unknown,敦陽科國票52購01
087916,Unknown,王品國票52購01
087917,Unknown,京鼎國票52購01
087918,Unknown,永崴控國票52購01
087920,Unknown,帆宣國票53購01
087921,Unknown,愛普國票52購01
087922,Unknown,愛普國票53購01
087923,Unknown,滬深2X國泰52購03
087924,Unknown,喬山國泰52購01
087925,Unknown,矽統國泰52購01
087926,Unknown,南亞科國泰52購04
087927,Unknown,精成科國泰52購02
087928,Unknown,帆宣國泰52購01
087929,Unknown,愛普國泰52購02
087930,Unknown,富世達國泰52購02
087933,Unknown,台達電永豐52購02
087934,Unknown,燿華永豐52購01
087938,Unknown,聯發科永豐54購03
087939,Unknown,王品永豐53購01
087941,Unknown,奇鋐永豐57購02
087943,Unknown,創意永豐52購01
087944,Unknown,永崴控永豐52購01
087945,Unknown,亞翔永豐54購01
087948,Unknown,愛普永豐53購02
087950,Unknown,全新兆豐53購01
087951,Unknown,世芯兆豐53購02
087952,Unknown,永崴控兆豐53購01
087953,Unknown,精成科兆豐53購01
087954,Unknown,王品富邦53購01
087955,Unknown,矽統統一52購04
087956,Unknown,漢唐統一61購01
087957,Unknown,大立光統一57購04
087958,Unknown,奇鋐統一57購02
087959,Unknown,碩天統一57購01
087960,Unknown,大銀統一59購02
087961,Unknown,迅得統一57購01
087963,Unknown,滬深2X群益53購04
087966,Unknown,台積電群益61購01
087971,Unknown,台光電群益53購02
087972,Unknown,聯發科群益54購04
087979,Unknown,欣興群益53購01
087984,Unknown,上緯控群益52購01
087986,Unknown,立積群益53購01
087990,Unknown,飛捷群益52購01
087994,Unknown,愛普群益52購01
087996,Unknown,南電群益53購01
087998,Unknown,FB越南元大53購01
088000,Unknown,華城元大54購02
088004,Unknown,鴻海元大54購10
088005,Unknown,台積電元大54購14
088006,Unknown,智邦元大54購02
088011,Unknown,奇鋐元大54購07
088015,Unknown,欣興元大54購02
088016,Unknown,欣興元大56購02
088019,Unknown,世芯元大54購07
088023,Unknown,緯穎元大54購07
088028,Unknown,世紀鋼元大54購04
088030,Unknown,鴻海統一57購05
088031,Unknown,鴻海統一57購06
088032,Unknown,廣宇統一53購02
088033,Unknown,台積電統一57購12
088034,Unknown,敦陽科統一59購01
088035,Unknown,王品統一57購01
088036,Unknown,大立光統一53購02
088037,Unknown,飛捷統一57購01
088038,Unknown,南電統一59購01
088041,Unknown,上証2X永豐53購01
088042,Unknown,上証2X永豐54購01
088045,Unknown,聯發科永豐52購04
088051,Unknown,王品永豐52購01
088053,Unknown,亞光永豐53購02
088054,Unknown,智原永豐53購01
088056,Unknown,玉晶光永豐52購01
088058,Unknown,連加永豐52購02
088067,Unknown,矽統元富57購01
088069,Unknown,宏致元富52購02
088072,Unknown,佳必琪元富52購01
088074,Unknown,台郡元富52購01
088079,Unknown,雷虎元富57購01
088080,Unknown,滬深2X國票52購03
088081,Unknown,華城國票52購04
088082,Unknown,華通國票52購02
088083,Unknown,國巨國票52購01
088084,Unknown,華邦電國票52購04
088085,Unknown,裕民國票52購01
088087,Unknown,慧洋國票52購02
088088,Unknown,八方國票52購01
088090,Unknown,台新金國票52購01
088091,Unknown,台新金國票53購01
088092,Unknown,大立光國票52購02
088093,Unknown,富世達國票52購07
088095,Unknown,T50正2國泰52購01
088096,Unknown,滬深2X國泰52購04
088097,Unknown,臺指反國泰52購01
088098,Unknown,建準國泰52購01
088099,Unknown,智原國泰52購02
088100,Unknown,亞翔國泰52購01
088101,Unknown,南電國泰52購02
088102,Unknown,南電國泰52購03
088103,Unknown,中砂兆豐53購02
088104,Unknown,漢唐兆豐57購01
088105,Unknown,晟銘電兆豐53購01
088111,Unknown,華碩群益53購01
088115,Unknown,漢唐群益53購01
088117,Unknown,雄獅群益53購01
088118,Unknown,奇鋐群益53購03
088119,Unknown,智原群益52購01
088123,Unknown,上緯控群益53購01
088124,Unknown,日月光群益52購02
088130,Unknown,世紀鋼群益53購01
088131,Unknown,臺股指群益59購06
088132,Unknown,上証2X富邦54購01
088133,Unknown,滬深2X富邦52購03
088134,Unknown,滬深2X富邦55購01
088135,Unknown,FB越南富邦54購01
088138,Unknown,台積電富邦55購07
088139,Unknown,技嘉富邦52購03
088140,Unknown,聯發科富邦55購04
088142,Unknown,jpp富邦52購01
088143,Unknown,滬深2X元大55購03
088144,Unknown,滬深2X元大56購02
088146,Unknown,華城元大54購03
088149,Unknown,鴻海元大54購11
088151,Unknown,台積電元大54購15
088159,Unknown,台光電元大54購05
088164,Unknown,奇鋐元大54購08
088168,Unknown,緯創元大54購06
088171,Unknown,世芯元大54購08
088172,Unknown,神達元大54購02
088179,Unknown,緯穎元大54購08
088188,Unknown,上証2X凱基53購02
