code,name,market,industry,isin,list_date
8227,巨有科技,TPEx,半導體業,TW0008227000,2022/12/20
8234,新漢,TPEx,電腦及週邊設備業,TW0008234006,2007/06/07
8240,華宏,TPEx,光電業,TW0008240003,2005/06/23
8255,朋程,TPEx,電機機械,TW0008255001,2006/04/25
8272,全景軟體,TPEx,資訊服務業,TW0008272006,2024/10/23
8277,商丞,TPEx,半導體業,TW0008277005,2004/12/27
8279,生展,TPEx,生技醫療業,TW0008279001,2016/09/26
8284,三竹,TPEx,資訊服務業,TW0008284001,2020/05/18
8289,泰藝,TPEx,電子零組件業,TW0008289000,2008/04/24
8291,尚茂,TPEx,電子零組件業,TW0008291006,2011/11/29
8299,群聯,TPEx,半導體業,TW0008299009,2004/12/06
8342,益張,TPEx,其他業,TW0008342007,2017/11/23
8349,恒耀,TPEx,鋼鐵工業,TW0008349002,2006/03/10
8354,冠好,TPEx,其他業,TW0008354002,2004/04/15
8358,金居,TPEx,電子零組件業,TW0008358003,2010/09/27
8383,千附,TPEx,半導體業,TW0008383001,2004/09/10
8390,金益鼎,TPEx,綠能環保,TW0008390006,2008/05/21
8401,白紗科,TPEx,其他業,TW0008401001,2010/03/29
8403,盛弘,TPEx,生技醫療業,TW0008403007,2011/03/01
8409,商之器,TPEx,生技醫療業,TW0008409004,2013/11/25
8410,森田,TPEx,電腦及週邊設備業,TW0008410002,2011/02/23
8415,大國鋼,TPEx,鋼鐵工業,TW0008415001,2016/09/07
8416,實威,TPEx,資訊服務業,TW0008416009,2012/09/19
8421,旭源,TPEx,其他業,TW0008421009,2012/11/23
8423,保綠-KY,TPEx,綠能環保,KYG715991074,2012/03/14
8424,惠普,TPEx,建材營造業,TW0008424003,2012/12/18
8426,紅木-KY,TPEx,其他業,KYG7457N1051,2011/12/13
8431,匯鑽科,TPEx,其他電子業,TW0008431008,2015/03/30
8432,東生華,TPEx,生技醫療業,TW0008432006,2012/04/30
8433,弘帆,TPEx,居家生活,TW0008433004,2012/12/19
8435,鉅邁,TPEx,其他業,TW0008435009,2012/12/28
8436,大江,TPEx,生技醫療業,TW0008436007,2013/09/12
8437,大地-KY,TPEx,其他業,KYG2615N1051,2015/05/06
8440,綠電,TPEx,綠能環保,TW0008440009,2018/03/28
8444,綠河-KY,TPEx,其他業,KYG409691006,2015/10/27
8446,華研,TPEx,文化創意業,TW0008446006,2013/12/19
8450,霹靂,TPEx,文化創意業,TW0008450008,2014/10/07
8455,大拓-KY,TPEx,其他電子業,KYG264101034,2016/01/08
8472,夠麻吉,TPEx,數位雲端,TW0008472002,2016/01/11
8477,創業家,TPEx,數位雲端,TW0008477001,2025/08/25
8489,三貝德,TPEx,其他業,TW0008489006,2017/04/27
8905,裕國,TPEx,其他業,TW0008905001,1996/01/31
8906,花王,TPEx,其他業,TW0008906009,1996/04/23
8908,欣雄,TPEx,油電燃氣業,TW0008908005,1997/02/14
8916,光隆,TPEx,其他業,TW0008916008,1999/04/20
8917,欣泰,TPEx,油電燃氣業,TW0008917006,1999/05/06
8921,沈氏,TPEx,其他業,TW0008921008,2000/03/21
8923,時報,TPEx,文化創意業,TW0008923004,1999/12/27
8924,大田,TPEx,運動休閒,TW0008924002,2000/02/09
8927,北基,TPEx,油電燃氣業,TW0008927005,2000/11/02
8928,鉅明,TPEx,運動休閒,TW0008928003,2001/02/02
8929,富堡,TPEx,其他業,TW0008929001,2000/11/30
8930,青鋼,TPEx,鋼鐵工業,TW0008930009,2000/12/06
8931,大汽電,TPEx,油電燃氣業,TW0008931007,2001/05/10
