"date","code","name","sector","change_percent","total_score","liquidity","volatility","momentum","warnings"
"2025-12-05","2454","2454","unknown","1.4235","57","0","0","13.0952",""
"2025-12-05","2603","2603","unknown","-0.813","49","0","0","-2.139",""
"2025-12-05","2609","2609","unknown","-1.5238","48","0","0","-4.7882",""
"2025-12-05","2615","2615","unknown","-0.9938","73","0","0","-3.5109",""
"2025-12-08","2317","2317","unknown","0.4329","71","0","0","-7.014",""
"2025-12-08","2330","2330","unknown","2.3973","76","0","0","1.3559",""
"2025-12-08","2454","2454","unknown","1.0526","58","0","0","15.2",""
"2025-12-08","2603","2603","unknown","-1.6393","49","0","0","-1.3699",""
"2025-12-08","2609","2609","unknown","-0.9671","48","0","0","-3.3962",""
"2025-12-08","2615","2615","unknown","-1.0038","74","0","0","-1.375",""
"2025-12-09","2317","2317","unknown","1.2931","73","0","0","-4.6653",""
"2025-12-09","2330","2330","unknown","-1.0033","76","0","0","1.0239",""
"2025-12-09","2454","2454","unknown","-1.3889","57","0","0","14.5161",""
"2025-12-09","2603","2603","unknown","-0.8333","50","0","0","-0.8333",""
"2025-12-09","2609","2609","unknown","-1.5625","48","0","0","-4.3643",""
"2025-12-09","2615","2615","unknown","-0.2535","75","0","0","-0.5057",""
"2025-12-10","2317","2317","unknown","-0.6383","47","0","0","-6.9721",""
"2025-12-10","2330","2330","unknown","1.6892","76","0","0","2.0339",""
"2025-12-10","2454","2454","unknown","2.8169","59","0","0","17.2691",""
"2025-12-10","2603","2603","unknown","0.2801","48","0","0","-3.7634",""
"2025-12-10","2609","2609","unknown","0.3968","47","0","0","-6.4695",""
"2025-12-10","2615","2615","unknown","-0.1271","73","0","0","-3.6765",""
"2025-12-11","2317","2317","unknown","-3.212","45","0","0","-10.3175",""
"2025-12-11","2330","2330","unknown","-2.3256","75","0","0","0.6849",""
"2025-12-11","2454","2454","unknown","-4.4521","56","0","0","12.0482",""
"2025-12-11","2603","2603","unknown","0.838","48","0","0","-3.7333",""
"2025-12-11","2609","2609","unknown","0.1976","47","0","0","-6.4576",""
"2025-12-11","2615","2615","unknown","-0.2544","72","0","0","-6.4439",""
"2025-12-12","2317","2317","unknown","0.4425","47","0","0","-5.8091",""
"2025-12-12","2330","2330","unknown","0.6803","77","0","0","3.4965",""
"2025-12-12","2454","2454","unknown","0.7168","57","0","0","14.2276",""
"2025-12-12","2603","2603","unknown","1.385","49","0","0","-1.3477",""
"2025-12-12","2609","2609","unknown","0.1972","47","0","0","-5.4004",""
"2025-12-12","2615","2615","unknown","-0.2551","72","0","0","-5.2121",""
"2025-12-15","2317","2317","unknown","-2.4229","47","0","0","-6.1441",""
"2025-12-15","2330","2330","unknown","-2.027","75","0","0","0.346",""
"2025-12-15","2454","2454","unknown","1.0676","83","0","0","15.4472",""
"2025-12-15","2603","2603","unknown","0.2732","51","0","0","1.1019",""
