date,open,high,low,close,volume,sma_fast,sma_slow,trend_gate,rsi,sig_buy,sig_sell
2024-08-15,945.0,950.0,941.0,943.0,19476402,953.26,,False,50.14616631691105,False,False
2024-08-16,963.0,969.0,958.0,969.0,44062316,955.86,,False,53.943045038461435,False,False
2024-08-19,969.0,975.0,964.0,973.0,21348863,958.24,,False,54.51696186525113,False,False
2024-08-20,977.0,977.0,968.0,973.0,24039959,959.82,,False,54.51696186525113,False,False
2024-08-21,961.0,964.0,956.0,958.0,29758188,961.4,,False,51.71433478629431,False,False
2024-08-22,958.0,964.0,948.0,951.0,24349754,962.76,,False,50.41189353400444,False,False
2024-08-23,944.0,952.0,939.0,949.0,27592153,963.56,,False,50.024239476218334,False,False
2024-08-26,957.0,961.0,945.0,950.0,25057581,964.18,,False,50.230317122381734,False,False
2024-08-27,945.0,946.0,940.0,942.0,18693037,964.58,,False,48.507056112794174,False,False
2024-08-28,945.0,964.0,943.0,964.0,31059233,965.44,,False,53.256311243057205,False,False
2024-08-29,942.0,947.0,937.0,943.0,43530708,965.44,,False,48.6442934309706,False,False
2024-08-30,944.0,952.0,941.0,944.0,63834981,964.7,,False,48.87135808731776,False,False
2024-09-02,950.0,955.0,943.0,948.0,18646835,964.04,,False,49.82695764862932,False,False
2024-09-03,948.0,952.0,939.0,940.0,19547575,963.44,,False,47.89876390388973,False,False
2024-09-04,894.0,905.0,888.0,889.0,79709021,962.42,,False,37.84443300296253,False,False
2024-09-05,907.0,915.0,900.0,902.0,30512026,961.56,,False,41.230818312729824,False,False
2024-09-06,909.0,918.0,903.0,918.0,24458336,960.72,,False,45.18891205029826,False,False
2024-09-09,892.0,900.0,891.0,899.0,35885268,959.5,,False,41.60543368649667,False,False
2024-09-10,907.0,911.0,901.0,904.0,33498628,958.26,,False,42.88892901482069,False,False
2024-09-11,906.0,906.0,900.0,901.0,18029342,956.92,,False,42.28833857944147,False,False
2024-09-12,936.0,944.0,928.0,940.0,39454846,956.52,,False,51.74801770974571,False,False
2024-09-13,955.0,955.0,939.0,947.0,25347586,955.88,,False,53.22985216091841,False,False
2024-09-16,952.0,952.0,943.0,947.0,13626239,954.72,,False,53.22985216091841,False,False
2024-09-18,945.0,948.0,933.0,941.0,28424324,953.44,,False,51.652958856054134,False,False
2024-09-19,940.0,960.0,936.0,960.0,32739630,951.94,,False,56.089109891233626,False,False
2024-09-20,981.0,982.0,971.0,973.0,60133709,950.6,,False,58.869914476870704,False,False
2024-09-23,971.0,977.0,971.0,977.0,14497067,949.24,,False,59.71527117324735,False,False
2024-09-24,976.0,987.0,971.0,987.0,26785975,947.38,,False,61.827567816645455,False,False
2024-09-25,1000.0,1005.0,998.0,1005.0,39405222,946.68,,False,65.34950124735047,False,False
2024-09-26,1010.0,1015.0,1005.0,1015.0,38321585,946.18,,False,67.16216798632689,False,False
2024-09-27,1020.0,1025.0,1000.0,1000.0,35783779,945.08,,False,61.92884656209773,False,False
2024-09-30,978.0,990.0,957.0,957.0,61603217,943.62,,False,49.920270514109724,False,True
2024-10-01,967.0,977.0,967.0,972.0,26760355,942.96,,False,53.32067496521241,False,False
2024-10-04,986.0,986.0,967.0,977.0,40934818,943.1,,False,54.431377918919154,False,False
2024-10-07,993.0,1010.0,989.0,1005.0,39667071,944.42,,False,60.14980422647641,False,False
2024-10-08,1000.0,1010.0,997.0,1010.0,30845902,945.04,,False,61.088838583799394,False,False
2024-10-09,1030.0,1035.0,1020.0,1020.0,46975717,946.96,,False,62.968324453375814,False,False
2024-10-11,1025.0,1050.0,1020.0,1045.0,43058754,948.98,,False,67.2298751490875,False,False
2024-10-14,1045.0,1055.0,1035.0,1045.0,36858874,951.08,,False,67.2298751490875,False,False
2024-10-15,1050.0,1075.0,1050.0,1070.0,42850176,953.8,,False,71.08851356693188,False,False
2024-10-16,1040.0,1070.0,1035.0,1045.0,52652149,955.5,,False,63.08849755563898,False,False
2024-10-17,1050.0,1055.0,1030.0,1035.0,54173771,958.14,,False,60.17155848474873,False,False
2024-10-18,1095.0,1100.0,1075.0,1085.0,85011961,963.54,,False,68.11074835024796,False,False
2024-10-21,1090.0,1095.0,1080.0,1085.0,36491060,967.64,,False,68.11074835024796,False,False
2024-10-22,1065.0,1075.0,1060.0,1075.0,41197877,970.74,,False,65.10073693539704,False,False
2024-10-23,1060.0,1070.0,1055.0,1060.0,31423466,974.02,,False,60.76295869814961,False,False
2024-10-24,1070.0,1075.0,1055.0,1060.0,38236996,976.54,,False,60.76295869814961,False,False
2024-10-25,1065.0,1070.0,1060.0,1065.0,22009575,979.04,,False,61.748285858944676,False,False
2024-10-28,1075.0,1080.0,1050.0,1050.0,40142324,981.22,,False,57.11449447190547,False,True
2024-10-29,1035.0,1040.0,1020.0,1040.0,45415773,983.06,,False,54.19463919846168,False,False
2024-10-30,1040.0,1055.0,1030.0,1030.0,38201984,984.8,,False,51.3666304438957,False,False
2024-11-01,996.0,1030.0,996.0,1025.0,54480255,985.92,,False,49.96276472117576,False,False
2024-11-04,1030.0,1045.0,1025.0,1040.0,26747978,987.26,,False,54.022483405372924,False,False
2024-11-05,1030.0,1055.0,1030.0,1050.0,32385622,988.8,,False,56.553256943446165,False,False
2024-11-06,1050.0,1080.0,1040.0,1060.0,55349259,990.84,,False,58.984563895958516,False,False
2024-11-07,1050.0,1075.0,1050.0,1065.0,43975446,993.12,,False,60.18431577167018,False,False
2024-11-08,1085.0,1090.0,1080.0,1090.0,37099479,995.94,,False,65.60219717734552,False,False
2024-11-11,1080.0,1090.0,1070.0,1085.0,34690205,998.64,,False,63.73425719300542,False,False
2024-11-12,1060.0,1065.0,1050.0,1050.0,51099848,1000.8,,False,52.47137158123904,False,True
2024-11-13,1045.0,1050.0,1035.0,1035.0,42331232,1002.22,,False,48.51446422300786,False,False
2024-11-14,1030.0,1040.0,1025.0,1035.0,44627940,1004.06,,False,48.514464223007856,False,False
2024-11-15,1040.0,1045.0,1030.0,1035.0,34791611,1005.88,,False,48.514464223007856,False,False
2024-11-18,1030.0,1035.0,1020.0,1025.0,31815076,1007.42,,False,45.64817707846474,False,False
2024-11-19,1030.0,1045.0,1025.0,1040.0,24349599,1009.42,,False,50.383509191546075,False,False
2024-11-20,1025.0,1025.0,1025.0,1025.0,40203197,1012.14,,False,46.06174197575296,False,False
2024-11-21,1020.0,1025.0,1010.0,1010.0,41429227,1014.3,,False,42.16657591476982,False,False
2024-11-22,1035.0,1050.0,1035.0,1040.0,25187973,1016.74,,False,51.07726041778352,False,False
